2.187430	2.213750	2.195910	2.218340	2.205000	2.220350	2.733280	2.715080	2.855850	2.941110	2.956560	2.853560	2.957380	2.939710	2.920010	2.914780	2.945040	2.900830	3.034640	2.892960	2.991980	2.762590	2.635050	2.411440	2.459350	2.458120	2.509470	2.587850	2.982800	2.804010	2.930280	2.843800	2.867410	2.788770	2.597770
0.005600	-0.000130	0.030540	-0.040510	0.013210	0.005240	-0.061220	-0.169490	-0.051990	-0.033880	-0.055980	0.032910	-0.067330	-0.064000	-0.044890	-0.034350	-0.083190	-0.043610	-0.123920	-0.024540	-0.109700	-0.069290	-0.068440	-0.003830	-0.068370	-0.108060	-0.141970	-0.174070	-0.098470	-0.171670	-0.186790	-0.182610	-0.254370	-0.090720	-0.148140
-0.200420	-0.161180	-0.175400	-0.123910	-0.174020	-0.181310	-0.176180	-0.266420	-0.159480	-0.232330	-0.114960	-0.196950	-0.133910	-0.120590	-0.145470	-0.173750	-0.137860	-0.180130	-0.137790	-0.222530	-0.171190	-0.174090	-0.246510	-0.207290	-0.123430	-0.129310	-0.123920	-0.119710	-0.362680	-0.205460	-0.250660	-0.187770	-0.218490	-0.228180	-0.183790
-0.074480	-0.134510	-0.116180	-0.138000	-0.145360	-0.125650	-0.159420	-0.072390	-0.174590	-0.060220	-0.202120	-0.172360	-0.166670	-0.167070	-0.140910	-0.103080	-0.136800	-0.135860	-0.119880	-0.135940	-0.120150	-0.181490	-0.047080	-0.072770	-0.160230	-0.133050	-0.133740	-0.125050	-0.004760	-0.116920	-0.068340	-0.151210	-0.075810	-0.126250	-0.126430
-0.152970	-0.111780	-0.152880	-0.148380	-0.084580	-0.104950	0.017400	0.059780	-0.012690	-0.105430	-0.037530	-0.048220	-0.093900	-0.108910	-0.126450	-0.141970	-0.096400	-0.051720	-0.103520	-0.017670	-0.070540	-0.007650	-0.096100	-0.137050	-0.070580	-0.050640	-0.039150	-0.025920	0.027210	0.066850	0.034010	0.102410	0.042910	-0.014250	0.004900
-0.028040	-0.033480	0.000760	0.009670	-0.049570	-0.027260	-0.123690	-0.021950	-0.071140	-0.063550	-0.088450	-0.067480	-0.014300	-0.030430	-0.001110	-0.037380	-0.090510	-0.128250	-0.051690	-0.091580	-0.041000	-0.084080	-0.006640	-0.027490	-0.063100	-0.094030	-0.093060	-0.088660	-0.062790	-0.091140	-0.035050	-0.089080	-0.081840	-0.090290	-0.120950
-0.055460	-0.058560	-0.069550	-0.108490	-0.114790	-0.121560	-0.108710	-0.202890	-0.178030	-0.107470	-0.094050	-0.150980	-0.171650	-0.121250	-0.162420	-0.070180	-0.056220	-0.054820	-0.120430	-0.137840	-0.134830	-0.168700	-0.154280	-0.092750	-0.092080	-0.077870	-0.121590	-0.144530	-0.206530	-0.169690	-0.164640	-0.174200	-0.160030	-0.228980	-0.151840
-0.114620	-0.116030	-0.126570	-0.107620	-0.113690	-0.106860	-0.112220	-0.108320	-0.047300	-0.158100	-0.157780	-0.137540	-0.140770	-0.170990	-0.116530	-0.219750	-0.208560	-0.190310	-0.148160	-0.153940	-0.179960	-0.182240	-0.095170	-0.125600	-0.170260	-0.146780	-0.135830	-0.092940	-0.003060	-0.061200	0.012820	0.023790	-0.157430	-0.147180	-0.183320
-0.125990	-0.094010	-0.110510	-0.173520	-0.170320	-0.087540	-0.084390	-0.055820	-0.219380	-0.143370	-0.190060	-0.149340	-0.170650	-0.190850	-0.212340	-0.131230	-0.187280	-0.208390	-0.178310	-0.118810	-0.041190	-0.060140	0.000750	-0.096340	-0.062340	-0.005440	-0.010170	0.022830	0.060820	0.124730	0.143500	0.094460	0.063250	-0.125500	-0.062420
0.042990	0.059250	0.026440	0.046020	-0.023510	-0.062260	-0.037950	0.043410	0.022930	0.002400	0.005310	-0.098280	-0.039940	-0.013400	-0.006200	-0.017270	-0.004130	-0.010750	0.005350	-0.057960	-0.021320	-0.144500	-0.017480	-0.056330	-0.087500	-0.102110	-0.126210	-0.125220	-0.004290	-0.078160	0.003880	-0.015210	0.005660	-0.123340	-0.067250
